LAT,LON,SIV,REMOTE,FAILSAFE,L_PWM,R_PWM,GPS_HEADING,GPS_SPEED,Setpoint_Speed,Setpoint_Yaw,L_setpoint,R_setpoint
39.9401032,32.8229578,19,0,0,800,800,282.3,0.05,0.0762785437563254,282.4509582460672,804.4124431529534,801.9143566039127
39.9401022,32.8229607,20,0,0,800,800,282.3,0.12,0.1801413296862582,282.1639730366232,799.6886094034517,808.0022099167853
39.9401018,32.8229618,20,0,0,800,800,282.3,0.11,0.0187267997764833,282.3270022849709,799.7880528512915,796.6099073851586
39.9401015,32.8229626,20,0,0,800,800,282.3,0.1,0.0964819910237815,282.25934623738004,806.1238022828957,802.4766798084648
39.9401002,32.8229643,20,0,0,800,800,282.3,0.09,0.1076936366911878,282.3132391914229,794.7897556460713,802.2855811049343
39.9400995,32.8229657,21,0,0,800,800,282.3,0.1,0.1362436002162725,282.2460132242176,802.0279459994391,800.5086270899335
39.9400896,32.8229738,21,0,0,800,800,192.96,0.9,0.9069602902674284,192.8637110171996,799.6434583581583,796.2679257161219
39.9400873,32.822975,21,1,0,800,800,187.05,0.42,0.3853067885959521,187.16995866649168,796.4978362639165,800.5925300486138
39.9400873,32.8229746,21,0,0,800,800,187.05,0.16,0.2139027645677674,186.96629909620003,801.9997163727633,799.398392584621
39.9400877,32.8229745,21,0,0,800,800,-1.0,0.02,-0.0866418297932306,358.893239430803,805.1330781920548,792.5831146898485
39.9400873,32.8229756,21,0,0,800,800,187.05,0.11,0.0935450896384713,187.15646974473609,800.0023219495174,801.9187880826914
39.9400862,32.8229762,21,0,0,800,800,187.05,0.14,0.172907480021856,187.1620024856336,800.2449414058036,799.1804593937894
39.9400829,32.8229756,21,1,0,1056,998,187.05,0.35,0.4468122853475443,187.12583581726625,1053.7360047505688,1001.0867545904516
39.940074,32.8229723,21,1,0,800,800,196.96,0.97,0.927351332500512,196.88056068789152,803.0614455992396,798.2269091920624
39.9400678,32.8229688,20,1,0,800,800,199.79,0.81,0.7752911460144488,199.8024983554889,797.3096518393351,797.2388667520754
39.9400648,32.8229638,20,1,0,1003,800,199.79,0.61,0.6681106561958928,199.93747989155216,1003.5042636445236,801.2802791837036
39.9400625,32.822957,20,1,0,800,800,199.79,0.7,0.7053271877327165,199.7159246185807,803.3788361390455,798.503771811184
39.9400635,32.8229503,20,1,0,800,800,199.79,0.49,0.4468341599018886,199.70453510551943,800.5955865384251,802.0308768652958
39.9400631,32.8229442,20,1,0,800,800,199.79,0.5,0.473233379677674,199.80483129997327,797.6187637593404,805.8216747945297
